entidad,mun,loc,nom_ent,nom_mun,nom_loc,tamloc,indice_0_100,quintil
9,2,1,Ciudad de México,Azcapotzalco,Azcapotzalco,12,76.39,Q5
9,3,1,Ciudad de México,Coyoacán,Coyoacán,13,79.72,Q5
9,4,1,Ciudad de México,Cuajimalpa de Morelos,Cuajimalpa de Morelos,11,78.32,Q5
9,4,10,Ciudad de México,Cuajimalpa de Morelos,Cruz Blanca,3,59.07,Q4
9,4,20,Ciudad de México,Cuajimalpa de Morelos,San Lorenzo Acopilco,8,69.03,Q5
9,4,50,Ciudad de México,Cuajimalpa de Morelos,La Venta,2,73.88,Q5
9,4,54,Ciudad de México,Cuajimalpa de Morelos,Puerto las Cruces (Monte las Cruces),4,56.75,Q4
9,4,55,Ciudad de México,Cuajimalpa de Morelos,Teopazulco,1,47.59,Q2
9,4,56,Ciudad de México,Cuajimalpa de Morelos,Valle de las Monjas,1,53.76,Q3
9,4,57,Ciudad de México,Cuajimalpa de Morelos,Prolongación Constitución,1,61.44,Q5
9,4,58,Ciudad de México,Cuajimalpa de Morelos,Paraje Río Borracho,1,56.26,Q4
9,4,59,Ciudad de México,Cuajimalpa de Morelos,El Zarco,1,83.39,Q5
9,4,60,Ciudad de México,Cuajimalpa de Morelos,La Bolsa (El Encinal),1,,
9,4,62,Ciudad de México,Cuajimalpa de Morelos,Los Campesinos [Rancho],1,81.61,Q5
9,4,63,Ciudad de México,Cuajimalpa de Morelos,Santa Rosa,3,57.35,Q4
9,4,64,Ciudad de México,Cuajimalpa de Morelos,Paraje Cerro de los Padres,1,,
9,4,66,Ciudad de México,Cuajimalpa de Morelos,Santa Laura [Rancho],1,90.11,Q5
9,4,67,Ciudad de México,Cuajimalpa de Morelos,La Papa [Escuela Niños Héroes],1,,
9,4,70,Ciudad de México,Cuajimalpa de Morelos,Punta Galicia,2,63.12,Q5
9,4,71,Ciudad de México,Cuajimalpa de Morelos,Cola de Pato,1,,
9,4,73,Ciudad de México,Cuajimalpa de Morelos,Los Aguacates,3,50.83,Q3
9,4,74,Ciudad de México,Cuajimalpa de Morelos,Punta Ahuatenco,1,61.08,Q5
9,4,75,Ciudad de México,Cuajimalpa de Morelos,Los Laureles [Rancho],1,,
9,4,77,Ciudad de México,Cuajimalpa de Morelos,Coatzehuaya,1,42.09,Q1
9,4,78,Ciudad de México,Cuajimalpa de Morelos,La Loma,1,,
9,4,79,Ciudad de México,Cuajimalpa de Morelos,Llanito Redondo,1,,
9,5,1,Ciudad de México,Gustavo A. Madero,Gustavo A. Madero,14,73.75,Q5
9,6,1,Ciudad de México,Iztacalco,Iztacalco,12,75.88,Q5
9,7,1,Ciudad de México,Iztapalapa,Iztapalapa,14,73.05,Q5
9,8,1,Ciudad de México,La Magdalena Contreras,La Magdalena Contreras,11,76.76,Q5
9,8,71,Ciudad de México,La Magdalena Contreras,Ejido de San Nicolás Totolapan,1,29.22,Q1
9,8,75,Ciudad de México,La Magdalena Contreras,Segundo Dinamo,1,35.45,Q1
9,8,79,Ciudad de México,La Magdalena Contreras,Las Golondrinas,1,,
9,8,83,Ciudad de México,La Magdalena Contreras,El Gavillero,2,25.36,Q1
9,8,85,Ciudad de México,La Magdalena Contreras,El Ocotal (La Carbonera),1,36.66,Q1
9,8,88,Ciudad de México,La Magdalena Contreras,Totolapan,2,59.55,Q4
9,8,89,Ciudad de México,La Magdalena Contreras,Sehuaya,1,,
9,8,94,Ciudad de México,La Magdalena Contreras,La Campana [Rancho],1,,
9,8,96,Ciudad de México,La Magdalena Contreras,La Polea,1,,
9,8,98,Ciudad de México,La Magdalena Contreras,Valle del Tezontle,1,,
9,8,99,Ciudad de México,La Magdalena Contreras,Albergue Alpino Ajusco,1,,
9,8,100,Ciudad de México,La Magdalena Contreras,Los Cedros,1,,
9,8,101,Ciudad de México,La Magdalena Contreras,Ocotenco (La Loma Cazulco),1,41.86,Q1
9,8,102,Ciudad de México,La Magdalena Contreras,Los Tejocotes,1,,
9,8,104,Ciudad de México,La Magdalena Contreras,Rancho Viejo,1,39.15,Q1
9,8,106,Ciudad de México,La Magdalena Contreras,Prolongación Ermitaño,1,54.37,Q4
9,8,107,Ciudad de México,La Magdalena Contreras,Llanos de Acopilco,1,,
9,8,108,Ciudad de México,La Magdalena Contreras,Rincón Eslava,1,44.39,Q2
9,8,109,Ciudad de México,La Magdalena Contreras,La Cañada [Parque],1,,
9,8,111,Ciudad de México,La Magdalena Contreras,Rancho Chichicaspa,1,67.23,Q5
9,8,112,Ciudad de México,La Magdalena Contreras,Paraje Chichicaspa,1,46.67,Q2
9,8,113,Ciudad de México,La Magdalena Contreras,Meyuca,1,,
9,9,1,Ciudad de México,Milpa Alta,Villa Milpa Alta,8,64.27,Q5
9,9,11,Ciudad de México,Milpa Alta,San Antonio Tecómitl,8,68.97,Q5
9,9,15,Ciudad de México,Milpa Alta,San Bartolomé Xicomulco,5,64.32,Q5
9,9,17,Ciudad de México,Milpa Alta,San Francisco Tecoxpa,7,60.93,Q5
9,9,24,Ciudad de México,Milpa Alta,San Pablo Oztotepec,8,64.35,Q5
9,9,29,Ciudad de México,Milpa Alta,San Pedro Atocpan,6,58.1,Q4
9,9,33,Ciudad de México,Milpa Alta,San Salvador Cuauhtenco,8,65.59,Q5
9,9,36,Ciudad de México,Milpa Alta,Santa Ana Tlacotenco,7,55.28,Q4
9,9,37,Ciudad de México,Milpa Alta,Cruztitla,4,61.85,Q5
9,9,45,Ciudad de México,Milpa Alta,Los Pinos (Totulan),1,52.37,Q3
9,9,46,Ciudad de México,Milpa Alta,Xoctonco,2,49.55,Q3
9,9,50,Ciudad de México,Milpa Alta,Cozcatlán,1,47.12,Q2
9,9,52,Ciudad de México,Milpa Alta,La Herradura (Séptima Curva),1,45.57,Q2
9,9,54,Ciudad de México,Milpa Alta,Zangahco,1,43.12,Q2
9,9,56,Ciudad de México,Milpa Alta,Hueycotzingo,1,56.21,Q4
9,9,66,Ciudad de México,Milpa Alta,Cuauhtec (El Mirador Santa Ana Tlacotenco),1,47.39,Q2
9,9,67,Ciudad de México,Milpa Alta,La Mora,1,52.57,Q3
9,9,68,Ciudad de México,Milpa Alta,Metenco,2,48.4,Q2
9,9,72,Ciudad de México,Milpa Alta,Tamasquititla,1,41.95,Q1
9,9,74,Ciudad de México,Milpa Alta,San Agustín Xolco,1,53.69,Q3
9,9,77,Ciudad de México,Milpa Alta,San Marcos (Tezocotitla),1,44.63,Q2
9,9,81,Ciudad de México,Milpa Alta,Cuyucalco,1,54.05,Q4
9,9,82,Ciudad de México,Milpa Alta,Iztahuaca,1,57.48,Q4
9,9,83,Ciudad de México,Milpa Alta,Tzotzomaco,1,48.25,Q2
9,9,84,Ciudad de México,Milpa Alta,Tlatepexco,1,48.53,Q2
9,9,88,Ciudad de México,Milpa Alta,San Paocotitla,1,53.4,Q3
9,9,90,Ciudad de México,Milpa Alta,Tlacopac,1,44.34,Q2
9,9,92,Ciudad de México,Milpa Alta,Tecolotzitzatzian (Tiapa),1,27.36,Q1
9,9,95,Ciudad de México,Milpa Alta,Tepetlapa,1,39.15,Q1
9,9,96,Ciudad de México,Milpa Alta,Tequianquiztunco,1,34.66,Q1
9,9,98,Ciudad de México,Milpa Alta,Tetexipezco,1,47.29,Q2
9,9,99,Ciudad de México,Milpa Alta,Tetlicuili (El Encinal),1,33.78,Q1
9,9,100,Ciudad de México,Milpa Alta,Toltecas Parte Alta (Barrio Tenantitla),1,,
9,9,101,Ciudad de México,Milpa Alta,Texcalatlautenco,1,49.34,Q3
9,9,103,Ciudad de México,Milpa Alta,Tezompa,1,50.69,Q3
9,9,104,Ciudad de México,Milpa Alta,Teziuhtepec,1,62.33,Q5
9,9,105,Ciudad de México,Milpa Alta,Tetzumpa,1,59.6,Q4
9,9,109,Ciudad de México,Milpa Alta,Tlaxala,1,46.61,Q2
9,9,110,Ciudad de México,Milpa Alta,Ahuapapatlapa,1,,
9,9,112,Ciudad de México,Milpa Alta,Tetepanco,1,49.82,Q3
9,9,113,Ciudad de México,Milpa Alta,Copexalco,1,57.83,Q4
9,9,115,Ciudad de México,Milpa Alta,San José,2,43.69,Q2
9,9,116,Ciudad de México,Milpa Alta,Hueytepetl (Bugambilias),1,50.14,Q3
9,9,117,Ciudad de México,Milpa Alta,Ocoximalipa,1,50.97,Q3
9,9,120,Ciudad de México,Milpa Alta,Corralixpa,1,52.38,Q3
9,9,124,Ciudad de México,Milpa Alta,El Rancho,1,,
9,9,126,Ciudad de México,Milpa Alta,Coyocalli,1,37.24,Q1
9,9,129,Ciudad de México,Milpa Alta,Tlapalan,1,46.1,Q2
9,9,130,Ciudad de México,Milpa Alta,Retamatitla (Tepehualli),1,,
9,9,131,Ciudad de México,Milpa Alta,Texalco,1,55.59,Q4
9,9,134,Ciudad de México,Milpa Alta,Queapilco,1,51.18,Q3
9,9,135,Ciudad de México,Milpa Alta,Texococlixpa (Rancho Santa Elena),1,,
9,9,138,Ciudad de México,Milpa Alta,Barranca Seca (Pozo Ocho),2,64.63,Q5
9,9,139,Ciudad de México,Milpa Alta,Teatlaco,1,51.33,Q3
9,9,140,Ciudad de México,Milpa Alta,Tlaloxtoc (Ejidos de Tecoxpa),1,35.41,Q1
9,9,141,Ciudad de México,Milpa Alta,Tezquizco,1,44.95,Q2
9,9,142,Ciudad de México,Milpa Alta,Atuzanco,1,41.48,Q1
9,9,147,Ciudad de México,Milpa Alta,El Potrero,1,71.12,Q5
9,9,151,Ciudad de México,Milpa Alta,Miquixpa,1,44.02,Q2
9,9,152,Ciudad de México,Milpa Alta,San Lorenzo Tlacoyucan,5,52.39,Q3
9,9,154,Ciudad de México,Milpa Alta,Rinconada del Teoca,1,57.9,Q4
9,9,155,Ciudad de México,Milpa Alta,Tepexomulco,1,51.2,Q3
9,9,156,Ciudad de México,Milpa Alta,Temoclaluca,1,43.59,Q2
9,9,158,Ciudad de México,Milpa Alta,Malacaxco,2,44.46,Q2
9,9,159,Ciudad de México,Milpa Alta,Cuatlixco,1,30.69,Q1
9,9,161,Ciudad de México,Milpa Alta,Coametzu,2,53.96,Q4
9,9,163,Ciudad de México,Milpa Alta,Cuauhtunco,2,53.76,Q3
9,9,166,Ciudad de México,Milpa Alta,La Era,1,25.59,Q1
9,9,167,Ciudad de México,Milpa Alta,Tepetenco,2,36.02,Q1
9,9,168,Ciudad de México,Milpa Alta,San Isidro Cuatepec,4,54.48,Q4
9,9,169,Ciudad de México,Milpa Alta,Xaluis,1,49.72,Q3
9,9,171,Ciudad de México,Milpa Alta,Tepetipac,2,57.76,Q4
9,9,172,Ciudad de México,Milpa Alta,Tlatlalahuaya,1,39.83,Q1
9,9,173,Ciudad de México,Milpa Alta,Texunco (Camino Real a Tlaltenami),1,48.8,Q2
9,9,174,Ciudad de México,Milpa Alta,Mecalco (Camino al Mirador),1,50.63,Q3
9,9,176,Ciudad de México,Milpa Alta,Zacatonco,2,47.14,Q2
9,9,178,Ciudad de México,Milpa Alta,Xali,1,53.29,Q3
9,9,185,Ciudad de México,Milpa Alta,Zacazontlipac,2,63.08,Q5
9,9,187,Ciudad de México,Milpa Alta,Santa Catarina (Piedra Blanca),1,67.51,Q5
9,9,188,Ciudad de México,Milpa Alta,Cuauhtetec,2,63.16,Q5
9,9,189,Ciudad de México,Milpa Alta,Huitlalpa,1,58.21,Q4
9,9,191,Ciudad de México,Milpa Alta,Texcolipan,1,45.32,Q2
9,9,192,Ciudad de México,Milpa Alta,Tetzmititla,1,54.36,Q4
9,9,195,Ciudad de México,Milpa Alta,Tlaxiomulco,1,46.26,Q2
9,9,198,Ciudad de México,Milpa Alta,Tecoloxtitla,1,56.11,Q4
9,9,199,Ciudad de México,Milpa Alta,Tapalaco (Amacapultitla),1,27.83,Q1
9,9,200,Ciudad de México,Milpa Alta,Teacalco,1,48.01,Q2
9,9,202,Ciudad de México,Milpa Alta,Cuauhzontlipan,1,46.83,Q2
9,9,203,Ciudad de México,Milpa Alta,Huepaltepec,1,49.91,Q3
9,9,204,Ciudad de México,Milpa Alta,Mecatlán (Rancho el Refugio),1,55.64,Q4
9,9,205,Ciudad de México,Milpa Alta,Tecupilco (Kilómetro 17.5),1,73.28,Q5
9,9,206,Ciudad de México,Milpa Alta,Xaxalpa,1,59.02,Q4
9,9,207,Ciudad de México,Milpa Alta,Xaltepetitla,1,50.07,Q3
9,9,208,Ciudad de México,Milpa Alta,Tetecolok,1,36.46,Q1
9,9,210,Ciudad de México,Milpa Alta,Santa Rosa,1,59.96,Q4
9,9,211,Ciudad de México,Milpa Alta,Olla de Piedra,1,59.15,Q4
9,9,213,Ciudad de México,Milpa Alta,El Zapote (Techultepec),1,61.97,Q5
9,9,214,Ciudad de México,Milpa Alta,Maxulco (Barrio Cruztitla),1,60.59,Q4
9,9,215,Ciudad de México,Milpa Alta,Tecoxpa (El Pirul),1,37.09,Q1
9,9,216,Ciudad de México,Milpa Alta,Santa Martha Cosalan,1,51.19,Q3
9,9,217,Ciudad de México,Milpa Alta,Zacuaztitla,2,46.02,Q2
