nom_mun,mun,total_vph_nodren,total_vivtot,pct_sin_drenaje
Milpa Alta,9.0,602.0,41400.0,0.014541062801932366
Xochimilco,13.0,805.0,129733.0,0.006205051914316326
La Magdalena Contreras,8.0,229.0,71291.0,0.0032121866715293657
Tlalpan,12.0,645.0,223245.0,0.0028892024457434656
Tláhuac,11.0,261.0,118161.0,0.0022088506359966486
Cuajimalpa de Morelos,4.0,137.0,65171.0,0.002102162004572586
Álvaro Obregón,10.0,220.0,236106.0,0.0009317848762843807
Coyoacán,3.0,182.0,208024.0,0.0008748990501096027
Gustavo A. Madero,5.0,298.0,370297.0,0.0008047594228416649
Miguel Hidalgo,16.0,129.0,168191.0,0.0007669851537834961
